Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D10.0mm_P5.00mm,1,1000u,
"D1, D2, D3, D4, D5, D6, D7",D_DO-35_SOD27_P7.62mm_Horizontal,7,D,
"H1, H2, H3, H4",MountingHole_2.2mm_M2,4,MountingHole,
"J1, J2, J3, J4, J5, J6, J7",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,7,Conn_01x02_Socket,
J8,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
"R1, R2, R3, R4, R5, R6, R7",resistor_0207_10,7,100,
"R10, R11, R12, R13, R14, R8, R9",resistor_0207_10,7,100k,
U1,XIAO-ESP32-C6-DIP,1,XIAO-ESP32-C3-DIP,
U2,DIP-16_W7.62mm_Socket,1,TBD62003APG,
U3,PinHeader_1x03_P2.54mm_Vertical,1,BP5293,
